i: 11 evals:          1.74799 d:1.100000
i: 12 evals:          2.48096 d:1.200000
i: 13 evals:          3.18386 d:1.300000
i: 14 evals:          3.84167 d:1.400000
i: 15 evals:          4.43937 d:1.500000
i: 16 evals:          4.96191 d:1.600000
i: 17 evals:          5.39428 d:1.700000
i: 18 evals:          5.72143 d:1.800000
i: 19 evals:          5.92835 d:1.900000
i: 20 evals:                0 d:2.000000
i: 21 evals:          5.92838 d:2.100000
i: 22 evals:          5.73361 d:2.200000
i: 23 evals:          5.44284 d:2.300000
i: 24 evals:          5.08322 d:2.400000
i: 25 evals:           4.6819 d:2.500000
i: 26 evals:          4.26602 d:2.600000
i: 27 evals:          3.86275 d:2.700000
i: 28 evals:          3.49922 d:2.800000
i: 29 evals:          3.20259 d:2.900000
i: 30 evals:                0 d:3.000000
i: 31 evals:          2.91049 d:3.100000
i: 32 evals:          2.92061 d:3.200000
i: 33 evals:          3.00878 d:3.300000
i: 34 evals:          3.15345 d:3.400000
i: 35 evals:          3.33305 d:3.500000
i: 36 evals:            3.526 d:3.600000
i: 37 evals:          3.71073 d:3.700000
i: 38 evals:          3.86569 d:3.800000
i: 39 evals:           3.9693 d:3.900000
i: 40 evals:                0 d:4.000000
i: 41 evals:          3.94266 d:4.100000
i: 42 evals:          3.80796 d:4.200000
i: 43 evals:          3.61302 d:4.300000
i: 44 evals:          3.37497 d:4.400000
i: 45 evals:          3.11092 d:4.500000
i: 46 evals:          2.83799 d:4.600000
i: 47 evals:          2.57332 d:4.700000
i: 48 evals:          2.33401 d:4.800000
i: 49 evals:           2.1372 d:4.900000
i: 50 evals:                0 d:5.000000
i: 51 evals:          1.93586 d:5.100000
i: 52 evals:          1.94355 d:5.200000
i: 53 evals:          2.01812 d:5.300000
i: 54 evals:          2.15468 d:5.400000
i: 55 evals:          2.34829 d:5.500000
i: 56 evals:          2.59404 d:5.600000
i: 57 evals:            2.887 d:5.700000
i: 58 evals:          3.22227 d:5.800000
i: 59 evals:           3.5949 d:5.900000
i: 60 evals:                0 d:6.000000
i: 61 evals:          4.43088 d:6.100000
i: 62 evals:          4.87385 d:6.200000
i: 63 evals:          5.31348 d:6.300000
i: 64 evals:          5.73432 d:6.400000
i: 65 evals:          6.12092 d:6.500000
i: 66 evals:          6.45785 d:6.600000
i: 67 evals:          6.72967 d:6.700000
i: 68 evals:          6.92093 d:6.800000
i: 69 evals:          7.01618 d:6.900000
i: 70 evals:                0 d:7.000000
i: 71 evals:          6.86162 d:7.100000
i: 72 evals:          6.60904 d:7.200000
i: 73 evals:          6.25496 d:7.300000
i: 74 evals:          5.81206 d:7.400000
i: 75 evals:          5.29303 d:7.500000
i: 76 evals:          4.71055 d:7.600000
i: 77 evals:          4.07732 d:7.700000
i: 78 evals:          3.40603 d:7.800000
i: 79 evals:          2.70936 d:7.900000
